Unnamed: 0,arrival_time,departure_time,street_marker,area,vio_time,vio_stay_time,date,week,noon
19121551,2016/11/29 9:07,11:14,C2998,Supreme,11:07,7,2016/11/29,2,1
19127799,2016/11/29 17:12,18:30,5269W,Courtney,18:12,18,2016/11/29,2,2
19134057,2016/11/29 13:57,15:03,12270N,Jolimont,14:57,6,2016/11/29,2,2
19145251,2016/11/29 14:03,16:14,8007W,Southbank,16:03,11,2016/11/29,2,2
19164241,2016/11/29 15:53,17:00,6523S,The Mac,16:23,37,2016/11/29,2,2
19169978,2016/11/29 10:21,10:52,11503S,West Melbourne,10:36,16,2016/11/29,2,1
19219034,2016/11/29 14:47,15:58,338E,Hyatt,15:47,11,2016/11/29,2,2
19223851,2016/11/29 13:11,15:03,89W,Regency,14:11,52,2016/11/29,2,2
19254504,2016/11/29 17:04,20:23,C220,Hyatt,19:04,79,2016/11/29,2,2
19262564,2016/11/29 17:27,18:18,13794E,Docklands,17:57,21,2016/11/29,2,2
19267464,2016/11/29 11:58,12:20,7013S,Victoria Market,12:13,7,2016/11/29,2,2
19279112,2016/11/29 12:38,13:18,816E,Library,13:08,10,2016/11/29,2,2
19280377,2016/11/29 15:52,18:30,13448E,Docklands,17:52,38,2016/11/29,2,2
19281388,2016/11/29 8:43,9:10,3940N,Magistrates,8:58,12,2016/11/29,2,1
19293029,2016/11/29 11:28,12:35,87W,Regency,12:28,7,2016/11/29,2,2
19318498,2016/11/29 12:22,16:16,C158,Regency,15:22,54,2016/11/29,2,2
19320739,2016/11/29 13:02,14:30,673W,City Square,13:32,58,2016/11/29,2,2
19322604,2016/11/29 7:30,10:09,13622E,Docklands,9:30,39,2016/11/29,2,1
19332742,2016/11/29 15:00,16:09,13041S,Docklands,16:00,9,2016/11/29,2,2
19344196,2016/11/29 16:45,19:01,C256,Hyatt,18:45,16,2016/11/29,2,2
19375596,2016/11/29 7:30,9:30,13371W,Docklands,7:45,105,2016/11/29,2,1
19376347,2016/11/29 13:04,14:11,12364N,East Melbourne,14:04,7,2016/11/29,2,2
19378669,2016/11/29 7:44,10:49,45W,Twin Towers,8:14,155,2016/11/29,2,1
19384880,2016/11/29 14:18,17:19,13630E,Docklands,16:18,61,2016/11/29,2,2
19389903,2016/11/29 9:47,17:26,9266N,Southbank,11:47,339,2016/11/29,2,1
19418394,2016/11/29 12:40,14:04,2886N,Library,13:40,24,2016/11/29,2,2
19423843,2016/11/29 9:17,11:46,12388N,Jolimont,11:17,29,2016/11/29,2,1
19449197,2016/11/29 11:23,12:08,13853S,Docklands,11:53,15,2016/11/29,2,1
19449561,2016/11/29 7:58,8:19,7041S,Victoria Market,8:13,6,2016/11/29,2,1
19454996,2016/11/29 16:08,18:30,13582E,Docklands,18:08,22,2016/11/29,2,2
19458432,2016/11/29 15:07,15:47,1518E,Markilles,15:37,10,2016/11/29,2,2
19477801,2016/11/29 9:58,13:27,949W,Chinatown,10:28,179,2016/11/29,2,1
19490358,2016/11/29 12:20,14:41,2340N,Windsor,13:20,81,2016/11/29,2,2
19529618,2016/11/29 11:01,11:24,10053S,Southbank,11:11,13,2016/11/29,2,1
19533747,2016/11/29 14:23,16:34,11812E,Jolimont,15:23,71,2016/11/29,2,2
19543732,2016/11/29 13:28,14:56,9417S,Southbank,14:28,28,2016/11/29,2,2
19565932,2016/11/29 13:36,14:17,793W,Library,14:06,11,2016/11/29,2,2
19570484,2016/11/29 14:04,15:24,2551S,Hardware,14:34,50,2016/11/29,2,2
19574569,2016/11/29 11:29,12:15,2553S,Hardware,11:59,16,2016/11/29,2,1
19579111,2016/11/29 10:11,12:20,5582E,Queensberry,12:11,9,2016/11/29,2,2
19628560,2016/11/29 18:52,22:06,3426N,Library,20:52,74,2016/11/29,2,2
19644783,2016/11/29 7:30,8:54,5052E,Courtney,8:00,54,2016/11/29,2,1
19659875,2016/11/29 7:30,18:30,5594E,Queensberry,8:00,630,2016/11/29,2,1
19665330,2016/11/29 11:37,12:16,5131W,Courtney,12:07,9,2016/11/29,2,2
19665849,2016/11/29 13:54,15:14,11518N,West Melbourne,14:54,20,2016/11/29,2,2
19681697,2016/11/29 12:45,15:54,9898N,Southbank,15:45,9,2016/11/29,2,2
19705927,2016/11/29 16:25,17:10,13340E,Docklands,16:55,15,2016/11/29,2,2
19729140,2016/11/29 13:39,15:24,39W,Twin Towers,14:39,45,2016/11/29,2,2
19749847,2016/11/29 9:16,9:42,7019S,Victoria Market,9:31,11,2016/11/29,2,1
19809993,2016/11/29 16:15,18:30,12418N,Jolimont,18:15,15,2016/11/29,2,2
19819351,2016/11/29 16:35,17:43,C1136,Hardware,17:35,8,2016/11/29,2,2
19854015,2016/11/29 11:56,12:35,13866N,Docklands,12:26,9,2016/11/29,2,2
19866887,2016/11/29 13:15,16:21,9912N,Southbank,16:15,6,2016/11/29,2,2
19876035,2016/11/29 9:53,12:02,13663W,Docklands,11:53,9,2016/11/29,2,1
19877299,2016/11/29 7:30,8:36,13373W,Docklands,7:45,51,2016/11/29,2,1
19881832,2016/11/29 17:50,19:00,2510N,Princes Theatre,18:20,40,2016/11/29,2,2
19909548,2016/11/29 9:37,12:08,11786E,Jolimont,11:37,31,2016/11/29,2,1
19922505,2016/11/29 8:17,9:28,C7028,Victoria Market,9:17,11,2016/11/29,2,1
19946363,2016/11/29 12:15,13:24,5269W,Courtney,13:15,9,2016/11/29,2,2
19959068,2016/11/29 14:19,15:46,2561S,Supreme,15:19,27,2016/11/29,2,2
19976106,2016/11/29 9:06,11:45,C13524,Docklands,11:06,39,2016/11/29,2,1
19984857,2016/11/29 10:05,11:20,13580E,Docklands,10:20,60,2016/11/29,2,1
19999504,2016/11/29 13:46,15:21,C1126,Hardware,14:46,35,2016/11/29,2,2
20009373,2016/11/29 12:13,14:10,5990N,Titles,13:13,57,2016/11/29,2,2
20011853,2016/11/29 12:43,15:12,C2736,Princes Theatre,14:43,29,2016/11/29,2,2
20014204,2016/11/29 13:08,13:28,12280N,Jolimont,13:23,5,2016/11/29,2,2
20016739,2016/11/29 7:40,8:09,13330E,Docklands,7:55,14,2016/11/29,2,1
20017536,2016/11/29 13:13,15:12,3761S,The Mac,14:13,59,2016/11/29,2,2
20020058,2016/11/29 16:14,18:30,11740E,Jolimont,18:14,16,2016/11/29,2,2
20041508,2016/11/29 9:34,11:45,C13556,Docklands,11:34,11,2016/11/29,2,1
20043316,2016/11/29 14:00,17:06,11788E,Jolimont,16:00,66,2016/11/29,2,2
20045372,2016/11/29 7:42,8:29,6540N,The Mac,8:12,17,2016/11/29,2,1
20065221,2016/11/29 13:50,14:56,1890N,Twin Towers,14:50,6,2016/11/29,2,2
20124981,2016/11/29 7:42,8:17,13234N,Docklands,7:57,20,2016/11/29,2,1
20168246,2016/11/29 10:04,11:00,5131W,Courtney,10:34,26,2016/11/29,2,1
20178043,2016/11/29 14:55,17:07,C9138,University,16:55,12,2016/11/29,2,2
20187629,2016/11/29 11:59,14:24,C9194,University,13:59,25,2016/11/29,2,2
